racename,riderposition,ridername,riderteam
Paris-Nice,109,GOVEKAR Matevž,Bahrain - Victorious
Paris-Nice,110,MULLEN Ryan,Red Bull - BORA - hansgrohe
Paris-Nice,111,HEPBURN Michael,Team Jayco AlUla
Paris-Nice,112,RIESEBEEK Oscar,Alpecin - Deceuninck
Paris-Nice,113,GRADEK Kamil,Bahrain - Victorious
Paris-Nice,114,FERNÁNDEZ Samuel,Caja Rural - Seguros RGA
Tirreno-Adriatico,1,AYUSO Juan,UAE Team Emirates - XRG
Tirreno-Adriatico,2,GANNA Filippo,INEOS Grenadiers
Tirreno-Adriatico,3,TIBERI Antonio,Bahrain - Victorious
Tirreno-Adriatico,4,GEE Derek,Israel - Premier Tech
Tirreno-Adriatico,5,HINDLEY Jai,Red Bull - BORA - hansgrohe
Tirreno-Adriatico,6,PIDCOCK Thomas,Q36.5 Pro Cycling Team
Tirreno-Adriatico,7,LANDA Mikel,Soudal Quick-Step
Tirreno-Adriatico,8,DE LA CRUZ David,Q36.5 Pro Cycling Team
Tirreno-Adriatico,9,BILBAO Pello,Bahrain - Victorious
Tirreno-Adriatico,10,CATTANEO Mattia,Soudal Quick-Step
Tirreno-Adriatico,11,JOHANNESSEN Tobias Halland,Uno-X Mobility
Tirreno-Adriatico,12,VAUQUELIN Kévin,Arkéa - B&B Hotels
Tirreno-Adriatico,13,CICCONE Giulio,Lidl - Trek
Tirreno-Adriatico,14,YATES Simon,Team Visma | Lease a Bike
Tirreno-Adriatico,15,GRÉGOIRE Romain,Groupama - FDJ
Tirreno-Adriatico,16,YATES Adam,UAE Team Emirates - XRG
Tirreno-Adriatico,17,PIGANZOLI Davide,Team Polti VisitMalta
Tirreno-Adriatico,18,CARAPAZ Richard,EF Education - EasyPost
Tirreno-Adriatico,19,DEL TORO Isaac,UAE Team Emirates - XRG
Tirreno-Adriatico,20,RUBIO Einer,Movistar Team
Tirreno-Adriatico,21,FORTUNATO Lorenzo,XDS Astana Team
Tirreno-Adriatico,22,PINARELLO Alessandro,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,23,HIRSCHI Marc,Tudor Pro Cycling Team
Tirreno-Adriatico,24,HEALY Ben,EF Education - EasyPost
Tirreno-Adriatico,25,ZANA Filippo,Team Jayco AlUla
Tirreno-Adriatico,26,VELASCO Simone,XDS Astana Team
Tirreno-Adriatico,27,KAJAMINI Florian Samuel,XDS Astana Team
Tirreno-Adriatico,28,IZAGIRRE Ion,Cofidis
Tirreno-Adriatico,29,ARANBURU Alex,Cofidis
Tirreno-Adriatico,30,FIORELLI Filippo,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,31,VENDRAME Andrea,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,32,QUINTANA Nairo,Movistar Team
Tirreno-Adriatico,33,CONCI Nicola,XDS Astana Team
Tirreno-Adriatico,34,HAMILTON Chris,Team Picnic PostNL
Tirreno-Adriatico,35,MADOUAS Valentin,Groupama - FDJ
Tirreno-Adriatico,36,STAUNE-MITTET Johannes,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,37,PRODHOMME Nicolas,Decathlon AG2R La Mondiale Team
